Date,home_xg,away_xg,result,home_avg_gf_5,home_avg_ga_5,home_avg_pts_5,home_form_score,away_avg_gf_5,away_avg_ga_5,away_avg_pts_5,away_form_score,home_elo,away_elo,home_team_Aston Villa,home_team_Bournemouth,home_team_Brentford,home_team_Brighton,home_team_Burnley,home_team_Chelsea,home_team_Crystal Palace,home_team_Everton,home_team_Fulham,home_team_Leeds United,home_team_Liverpool,home_team_Manchester City,home_team_Manchester Utd,home_team_Newcastle Utd,home_team_Nott'ham Forest,home_team_Sunderland,home_team_Tottenham,home_team_West Ham,home_team_Wolves,away_team_Aston Villa,away_team_Bournemouth,away_team_Brentford,away_team_Brighton,away_team_Burnley,away_team_Chelsea,away_team_Crystal Palace,away_team_Everton,away_team_Fulham,away_team_Leeds United,away_team_Liverpool,away_team_Manchester City,away_team_Manchester Utd,away_team_Newcastle Utd,away_team_Nott'ham Forest,away_team_Sunderland,away_team_Tottenham,away_team_West Ham,away_team_Wolves
2025-08-24,1.7,1.6,0,1.0,1.0,1.0,1,0.0,1.0,0.0,0,1500.0,1490.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-25,1.0,0.7,1,0.0,0.0,1.0,1,4.0,2.0,3.0,3,1500.0,1510.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2025-08-30,2.1,0.9,2,2.5,0.5,2.0,4,1.0,1.0,1.0,2,1509.71225631668,1499.71225631668,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2025-08-30,1.1,1.9,1,0.0,2.5,0.0,0,1.0,0.5,1.5,3,1480.0,1500.28774368332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-08-30,3.6,1.2,2,0.5,1.0,0.5,1,1.0,1.5,1.5,3,1490.28774368332,1500.5750112778453,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-30,1.5,1.2,2,1.5,1.0,1.5,3,1.0,1.5,1.5,3,1499.4249887221547,1500.28774368332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-30,0.2,1.5,1,2.5,0.0,3.0,6,1.5,2.0,1.5,3,1520.0,1500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-30,0.7,0.5,0,0.5,2.5,1.5,3,1.0,1.5,0.5,1,1500.0,1490.28774368332,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-08-31,0.5,0.5,2,3.5,2.0,3.0,6,3.0,0.0,3.0,6,1519.71225631668,1520.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-31,1.1,2.6,1,0.0,0.5,0.5,1,0.5,0.5,1.0,2,1489.71225631668,1500.28774368332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
