match_id,date,home_avg_gf_5,home_avg_ga_5,home_avg_pts_5,home_form_score,away_avg_gf_5,away_avg_ga_5,away_avg_pts_5,away_form_score,home_result,home_team_Aston Villa,home_team_Bournemouth,home_team_Brentford,home_team_Brighton,home_team_Burnley,home_team_Chelsea,home_team_Crystal Palace,home_team_Everton,home_team_Fulham,home_team_Ipswich Town,home_team_Leeds United,home_team_Leicester City,home_team_Liverpool,home_team_Luton Town,home_team_Manchester City,home_team_Manchester Utd,home_team_Newcastle Utd,home_team_Nott'ham Forest,home_team_Sheffield Utd,home_team_Southampton,home_team_Sunderland,home_team_Tottenham,home_team_West Ham,home_team_Wolves,away_team_Aston Villa,away_team_Bournemouth,away_team_Brentford,away_team_Brighton,away_team_Burnley,away_team_Chelsea,away_team_Crystal Palace,away_team_Everton,away_team_Fulham,away_team_Ipswich Town,away_team_Leeds United,away_team_Leicester City,away_team_Liverpool,away_team_Luton Town,away_team_Manchester City,away_team_Manchester Utd,away_team_Newcastle Utd,away_team_Nott'ham Forest,away_team_Sheffield Utd,away_team_Southampton,away_team_Sunderland,away_team_Tottenham,away_team_West Ham,away_team_Wolves,home_elo,away_elo,diff_elo
a0a93f71,2023-08-18,0.0,1.0,0.0,1.3973072747014117,1.0,2.0,0.0,1.3973072747014117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1470.5584748477902,1490.0170127583413,-19.45853791055106
a0a93f71,2023-08-18,1.0,2.0,0.0,1.3973072747014117,0.0,1.0,0.0,1.3973072747014117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1499.457535863315,1461.1179517428166,38.33958412049833
46be83af,2023-08-19,1.0,0.0,3.0,1.3973072747014117,2.0,2.0,1.0,1.3973072747014117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508.8664744330495,1510.5585142891052,-1.6920398560557715
0b8f50a5,2023-08-19,5.0,1.0,3.0,1.3973072747014117,3.0,0.0,3.0,1.3973072747014117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1509.9673768474593,1529.4410625349833,-19.47368568752404
80bebdbb,2023-08-19,1.0,1.0,1.0,1.3973072747014117,1.0,1.0,1.0,1.3973072747014117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1490.0,1510.0,-20.0
4bb62251,2023-08-19,2.0,2.0,1.0,1.3973072747014117,1.0,0.0,3.0,1.3973072747014117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1510.5585142891052,1508.8664744330495,1.6920398560557715
d7c606ec,2023-08-19,4.0,1.0,3.0,1.3973072747014117,0.0,1.0,0.0,1.3973072747014117,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1528.3114337474124,1471.6885662525876,56.62286749482473
80bebdbb,2023-08-19,1.0,1.0,1.0,1.3973072747014117,1.0,1.0,1.0,1.3973072747014117,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519.4249887221547,1480.5750112778453,38.84997744430939
0b8f50a5,2023-08-19,3.0,0.0,3.0,1.3973072747014117,5.0,1.0,3.0,1.3973072747014117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1538.8811510176545,1500.527288364788,38.35386265286638
46be83af,2023-08-19,2.0,2.0,1.0,1.3973072747014117,1.0,0.0,3.0,1.3973072747014117,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520.5098138522592,1498.9151748698955,21.594638982363676
